Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-22 09:02:22.924000,4189.35483871,0,4114.51612903,0,4034.51612903,0,4147.41935484,0,4167.09677419,0,4170.64516129,0,4186.4516129,0,4199.35483871,0,4245.80645161,0,4297.74193548,0,4272.58064516,0,4224.51612903,0,4195.48387097,0,4246.77419355,0,0,0,?
2018-01-22 09:02:22.927000,4162.58064516,0,4102.58064516,0,4015.48387097,0,4148.70967742,0,4156.12903226,0,4167.74193548,0,4162.25806452,0,4220.32258065,0,4240.64516129,0,4275.16129032,0,4274.51612903,0,4231.61290323,0,4155.48387097,0,4228.70967742,0,0,0,?
2018-01-22 09:02:22.942000,4158.06451613,0,4127.41935484,0,4062.58064516,0,4173.5483871,0,4152.90322581,0,4164.83870968,0,4175.80645161,0,4199.35483871,0,4268.38709677,0,4316.77419355,0,4301.61290323,0,4219.35483871,0,4190.0,0,4239.67741935,0,0,0,?
2018-01-22 09:02:22.946000,4187.09677419,0,4102.58064516,0,4025.48387097,0,4126.4516129,0,4159.03225806,0,4167.74193548,0,4179.35483871,0,4216.77419355,0,4260.32258065,0,4295.16129032,0,4279.03225806,0,4204.51612903,0,4210.64516129,0,4234.51612903,0,0,0,?
2018-01-22 09:02:22.958000,4146.77419355,0,4107.74193548,0,4050.96774194,0,4145.48387097,0,4160.32258065,0,4163.87096774,0,4164.83870968,0,4240.64516129,0,4256.4516129,0,4294.83870968,0,4281.29032258,0,4201.93548387,0,4140.0,0,4242.90322581,0,0,0,?
2018-01-22 09:02:22.960000,4176.77419355,0,4112.90322581,0,4065.16129032,0,4154.83870968,0,4166.77419355,0,4165.16129032,0,4188.38709677,0,4225.48387097,0,4246.4516129,0,4322.90322581,0,4295.16129032,0,4219.35483871,0,4189.03225806,0,4260.64516129,0,0,0,?
2018-01-22 09:02:22.975000,4168.06451613,0,4111.29032258,0,4061.93548387,0,4142.90322581,0,4156.77419355,0,4156.77419355,0,4168.70967742,0,4201.29032258,0,4252.25806452,0,4298.70967742,0,4299.67741935,0,4243.22580645,0,4162.25806452,0,4260.64516129,0,0,0,?
2018-01-22 09:02:22.980000,4164.51612903,0,4130.64516129,0,4051.29032258,0,4172.25806452,0,4158.38709677,0,4158.06451613,0,4174.51612903,0,4200.0,0,4279.67741935,0,4332.90322581,0,4315.16129032,0,4232.58064516,0,4198.70967742,0,4252.90322581,0,0,0,?
2018-01-22 09:02:22.988000,4185.48387097,0,4112.25806452,0,4049.35483871,0,4133.22580645,0,4159.03225806,0,4165.80645161,0,4178.70967742,0,4204.83870968,0,4241.61290323,0,4321.29032258,0,4326.77419355,0,4226.4516129,0,4177.74193548,0,4249.35483871,0,0,0,?
2018-01-22 09:02:22.991000,4150.32258065,0,4122.25806452,0,4077.74193548,0,4138.38709677,0,4145.48387097,0,4156.12903226,0,4166.4516129,0,4217.74193548,0,4220.96774194,0,4319.03225806,0,4306.77419355,0,4214.83870968,0,4147.09677419,0,4238.38709677,0,0,0,?
